Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0164864 	0.001000	0.0206048 	0.001000	0.0270652 	0.001000	0.0270652 	0.001000	0.0177576 	0.001000	0.00284723	
0.002000	0.0196417 	0.002000	0.0245313 	0.002000	0.0306983 	0.002000	0.0306983 	0.002000	0.0226331 	0.002000	0.00189812	
0.005000	0.0257955 	0.005000	0.0322237 	0.005000	0.0372474 	0.005000	0.0372474 	0.005000	0.0311906 	0.005000	0.00103314	
0.008000	0.0300151 	0.008000	0.037504  	0.008000	0.0414659 	0.008000	0.0414659 	0.008000	0.0367676 	0.008000	0.000736401	
0.010000	0.0323158 	0.010000	0.0403743 	0.010000	0.0436862 	0.010000	0.0436862 	0.010000	0.0397543 	0.010000	0.000620037	
0.015000	0.0389764 	0.015000	0.0466204 	0.015000	0.048116  	0.015000	0.048116  	0.015000	0.046165  	0.015000	0.000455406	
0.020000	0.0444337 	0.020000	0.0516662 	0.020000	0.0515785 	0.020000	0.0515785 	0.020000	0.0513023 	0.020000	0.000363929	
0.025000	0.0489471 	0.025000	0.0558768 	0.025000	0.0544579 	0.025000	0.0544579 	0.025000	0.0555718 	0.025000	0.000305028	
0.030000	0.0526553 	0.030000	0.0594417 	0.030000	0.0572302 	0.030000	0.0572302 	0.030000	0.0591781 	0.030000	0.000263643	
0.035000	0.0556494 	0.035000	0.0624749 	0.035000	0.0595465 	0.035000	0.0595465 	0.035000	0.062242  	0.035000	0.000232831	
0.040000	0.0580015 	0.040000	0.0650522 	0.040000	0.0614839 	0.040000	0.0614839 	0.040000	0.0648433 	0.040000	0.00020892	
0.045000	0.059776  	0.045000	0.0672288 	0.045000	0.0630986 	0.045000	0.0630986 	0.045000	0.0670391 	0.045000	0.000189778	
0.050000	0.0610353 	0.050000	0.0690475 	0.050000	0.0644338 	0.050000	0.0644338 	0.050000	0.0688734 	0.050000	0.000174078	
0.055000	0.0618406 	0.055000	0.0705434 	0.055000	0.0655241 	0.055000	0.0655241 	0.055000	0.0703824 	0.055000	0.000160948	
0.060000	0.0622521 	0.060000	0.0717469 	0.060000	0.0663983 	0.060000	0.0663983 	0.060000	0.0715971 	0.060000	0.000149792	
0.070000	0.0621239 	0.070000	0.0733836 	0.070000	0.0675936 	0.070000	0.0675936 	0.070000	0.0732518 	0.070000	0.000131819	
