Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0214136 	0.001000	0.0266906 	0.001000	0.0331282 	0.001000	0.0331282 	0.001000	0.0176946 	0.001000	0.00899606	
0.002000	0.0279533 	0.002000	0.0348582 	0.002000	0.0426429 	0.002000	0.0426429 	0.002000	0.0285701 	0.002000	0.00628806	
0.005000	0.0437614 	0.005000	0.0546309 	0.005000	0.0628558 	0.005000	0.0628558 	0.005000	0.0510665 	0.005000	0.00356436	
0.008000	0.0555047 	0.008000	0.0693187 	0.008000	0.0765095 	0.008000	0.0765095 	0.008000	0.0667341 	0.008000	0.00258458	
0.010000	0.0619374 	0.010000	0.0773813 	0.010000	0.0836442 	0.010000	0.0836442 	0.010000	0.0751762 	0.010000	0.00220513	
0.015000	0.079085  	0.015000	0.0946155 	0.015000	0.097628  	0.015000	0.097628  	0.015000	0.0929877 	0.015000	0.00162785	
0.020000	0.0934196 	0.020000	0.108657  	0.020000	0.108473  	0.020000	0.108473  	0.020000	0.107346  	0.020000	0.00131039	
0.025000	0.105638  	0.025000	0.120627  	0.025000	0.117575  	0.025000	0.117575  	0.025000	0.119523  	0.025000	0.00110385	
0.030000	0.11611   	0.030000	0.131108  	0.030000	0.126244  	0.030000	0.126244  	0.030000	0.13015   	0.030000	0.000957689	
0.035000	0.12506   	0.035000	0.140429  	0.035000	0.133862  	0.035000	0.133862  	0.035000	0.139581  	0.035000	0.000848281	
0.040000	0.132642  	0.040000	0.148792  	0.040000	0.140646  	0.040000	0.140646  	0.040000	0.148029  	0.040000	0.000763017	
0.045000	0.138978  	0.045000	0.156328  	0.045000	0.14674   	0.045000	0.14674   	0.045000	0.155634  	0.045000	0.000694523	
0.050000	0.144179  	0.050000	0.163125  	0.050000	0.15224   	0.050000	0.15224   	0.050000	0.162487  	0.050000	0.000638182	
0.055000	0.148353  	0.055000	0.169246  	0.055000	0.157219  	0.055000	0.157219  	0.055000	0.168655  	0.055000	0.000590948	
0.060000	0.151605  	0.060000	0.17474   	0.060000	0.161728  	0.060000	0.161728  	0.060000	0.17419   	0.060000	0.000550726	
0.070000	0.155764  	0.070000	0.184003  	0.070000	0.169497  	0.070000	0.169497  	0.070000	0.183517  	0.070000	0.000485753	
0.080000	0.157466  	0.080000	0.191184  	0.080000	0.175802  	0.080000	0.175802  	0.080000	0.190749  	0.080000	0.000435419	
0.090000	0.157426  	0.090000	0.196528  	0.090000	0.180831  	0.090000	0.180831  	0.090000	0.196133  	0.090000	0.000395182	
0.100000	0.15623   	0.100000	0.200271  	0.100000	0.184738  	0.100000	0.184738  	0.100000	0.199909  	0.100000	0.00036222	
0.120000	0.15203   	0.120000	0.203862  	0.120000	0.189719  	0.120000	0.189719  	0.120000	0.203551  	0.120000	0.000311303	
0.140000	0.14707   	0.140000	0.203625  	0.140000	0.191685  	0.140000	0.191685  	0.140000	0.203351  	0.140000	0.000273682	
0.160000	0.142287  	0.160000	0.200903  	0.160000	0.191412  	0.160000	0.191412  	0.160000	0.200658  	0.160000	0.000244665	
0.180000	0.137976  	0.180000	0.196681  	0.180000	0.189527  	0.180000	0.189527  	0.180000	0.196459  	0.180000	0.000221551	
0.200000	0.134159  	0.200000	0.191632  	0.200000	0.186526  	0.200000	0.186526  	0.200000	0.191429  	0.200000	0.000202674	
0.250000	0.126282  	0.250000	0.177901  	0.250000	0.17639   	0.250000	0.17639   	0.250000	0.177733  	0.250000	0.000167693	
0.300000	0.119848  	0.300000	0.164751  	0.300000	0.165062  	0.300000	0.165062  	0.300000	0.164608  	0.300000	0.000143526	
0.350000	0.114176  	0.350000	0.15305   	0.350000	0.15412   	0.350000	0.15412   	0.350000	0.152924  	0.350000	0.000125762	
0.400000	0.108981  	0.400000	0.142846  	0.400000	0.144132  	0.400000	0.144132  	0.400000	0.142734  	0.400000	0.000112119	
0.450000	0.104156  	0.450000	0.133968  	0.450000	0.135219  	0.450000	0.135219  	0.450000	0.133867  	0.450000	0.00010129	
0.500000	0.0996614 	0.500000	0.126209  	0.500000	0.127328  	0.500000	0.127328  	0.500000	0.126116  	0.500000	9.24722e-05	
0.600000	0.0915845 	0.600000	0.113331  	0.600000	0.114149  	0.600000	0.114149  	0.600000	0.113252  	0.600000	7.89509e-05	
0.700000	0.084611  	0.700000	0.103082  	0.700000	0.103676  	0.700000	0.103676  	0.700000	0.103013  	0.700000	6.90424e-05	
0.800000	0.0785904 	0.800000	0.0947198 	0.800000	0.0951802 	0.800000	0.0951802 	0.800000	0.0946583 	0.800000	6.14507e-05	
0.900000	0.0733717 	0.900000	0.0877514 	0.900000	0.0881467 	0.900000	0.0881467 	0.900000	0.0876959 	0.900000	5.54371e-05	
1.000000	0.0688195 	1.000000	0.0818415 	1.000000	0.082216  	1.000000	0.082216  	1.000000	0.0817909 	1.000000	5.0549e-05	
1.250000	0.0596591 	1.250000	0.0703083 	1.250000	0.0707262 	1.250000	0.0707262 	1.250000	0.0702668 	1.250000	4.15499e-05	
1.500000	0.0527422 	1.500000	0.0618313 	1.500000	0.0623363 	1.500000	0.0623363 	1.500000	0.0617959 	1.500000	3.53812e-05	
1.750000	0.0473249 	1.750000	0.0552897 	1.750000	0.0558807 	1.750000	0.0558807 	1.750000	0.0552588 	1.750000	3.08748e-05	
2.000000	0.0429589 	2.000000	0.0500646 	2.000000	0.0507286 	2.000000	0.0507286 	2.000000	0.0500372 	2.000000	2.74309e-05	
2.250000	0.0393603 	2.250000	0.0457832 	2.250000	0.0465056 	2.250000	0.0465056 	2.250000	0.0457585 	2.250000	2.47088e-05	
2.500000	0.0357322 	2.500000	0.0422052 	2.500000	0.042973  	2.500000	0.042973  	2.500000	0.0421827 	2.500000	2.25001e-05	
3.000000	0.0311888 	3.000000	0.0365549 	3.000000	0.0373832 	3.000000	0.0373832 	3.000000	0.0365358 	3.000000	1.91282e-05	
3.500000	0.0277447 	3.500000	0.0322888 	3.500000	0.0331497 	3.500000	0.0331497 	3.500000	0.0322721 	3.500000	1.66697e-05	
4.000000	0.0250361 	4.000000	0.0289505 	4.000000	0.0298266 	4.000000	0.0298266 	4.000000	0.0289358 	4.000000	1.47937e-05	
4.500000	0.0228452 	4.500000	0.0262654 	4.500000	0.0271455 	4.500000	0.0271455 	4.500000	0.0262521 	4.500000	1.33128e-05	
5.000000	0.0210337 	5.000000	0.0240574 	5.000000	0.0249347 	5.000000	0.0249347 	5.000000	0.0240453 	5.000000	1.21126e-05	
5.500000	0.0195088 	5.500000	0.0222087 	5.500000	0.0230786 	5.500000	0.0230786 	5.500000	0.0221975 	5.500000	1.11193e-05	
6.000000	0.0182061 	6.000000	0.0206371 	6.000000	0.021497  	6.000000	0.021497  	6.000000	0.0206268 	6.000000	1.02829e-05	
6.500000	0.0170795 	6.500000	0.019284  	6.500000	0.020132  	6.500000	0.020132  	6.500000	0.0192744 	6.500000	9.56855e-06	
7.000000	0.0160947 	7.000000	0.0181061 	7.000000	0.0189412 	7.000000	0.0189412 	7.000000	0.0180971 	7.000000	8.95096e-06	
7.500000	0.015226  	7.500000	0.0170709 	7.500000	0.0178926 	7.500000	0.0178926 	7.500000	0.0170625 	7.500000	8.41146e-06	
8.000000	0.0144536 	8.000000	0.0161535 	8.000000	0.0169616 	8.000000	0.0169616 	8.000000	0.0161456 	8.000000	7.93594e-06	
8.500000	0.0137621 	8.500000	0.0153346 	8.500000	0.016129  	8.500000	0.016129  	8.500000	0.0153271 	8.500000	7.5135e-06	
9.000000	0.0131391 	9.000000	0.0145988 	9.000000	0.0153796 	9.000000	0.0153796 	9.000000	0.0145917 	9.000000	7.1356e-06	
9.500000	0.0125747 	9.500000	0.0139339 	9.500000	0.0147013 	9.500000	0.0147013 	9.500000	0.0139271 	9.500000	6.79546e-06	
10.000000	0.0120609 	10.000000	0.0138003 	10.000000	0.0140841 	10.000000	0.0140841 	10.000000	0.0137939 	10.000000	6.4876e-06	
11.000000	0.0111594 	11.000000	0.0127843 	11.000000	0.012989  	11.000000	0.0129897 	11.000000	0.0127784 	11.000000	5.95173e-06	
12.000000	0.0103939 	12.000000	0.0119179 	12.000000	0.0120621 	12.000000	0.0120633 	12.000000	0.0119124 	12.000000	5.50087e-06	
13.000000	0.00973522	13.000000	0.0111698 	13.000000	0.0112672 	13.000000	0.0112685 	13.000000	0.0111647 	13.000000	5.11603e-06	
