Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0557756 	0.001000	0.0316257 	0.001000	0.0306516 	0.001000	0.0306516 	0.001000	0.0271127 	0.001000	0.00451296	
0.002000	0.0664503 	0.002000	0.0405045 	0.002000	0.0391738 	0.002000	0.0391738 	0.002000	0.0370371 	0.002000	0.00346745	
0.005000	0.0872693 	0.005000	0.0580986 	0.005000	0.0560887 	0.005000	0.0560887 	0.005000	0.0559384 	0.005000	0.00216022	
0.008000	0.101545  	0.008000	0.0707353 	0.008000	0.068252  	0.008000	0.068252  	0.008000	0.0691136 	0.008000	0.00162166	
0.010000	0.109328  	0.010000	0.0778174 	0.010000	0.0750717 	0.010000	0.0750717 	0.010000	0.076414  	0.010000	0.00140332	
0.015000	0.131862  	0.015000	0.0920241 	0.015000	0.0894805 	0.015000	0.0894805 	0.015000	0.0909579 	0.015000	0.00106619	
0.020000	0.150325  	0.020000	0.102738  	0.020000	0.101496  	0.020000	0.101496  	0.020000	0.101876  	0.020000	0.000862154	
0.025000	0.165594  	0.025000	0.11094   	0.025000	0.111997  	0.025000	0.111997  	0.025000	0.110206  	0.025000	0.000733573	
0.030000	0.178139  	0.030000	0.117173  	0.030000	0.117378  	0.030000	0.117378  	0.030000	0.116532  	0.030000	0.000641167	
0.035000	0.188269  	0.035000	0.121821  	0.035000	0.121456  	0.035000	0.121456  	0.035000	0.12125   	0.035000	0.000571209	
0.040000	0.196226  	0.040000	0.125181  	0.040000	0.124479  	0.040000	0.124479  	0.040000	0.124664  	0.040000	0.000516208	
0.045000	0.20223   	0.045000	0.127493  	0.045000	0.126636  	0.045000	0.126636  	0.045000	0.127021  	0.045000	0.00047171	
0.050000	0.20649   	0.050000	0.128958  	0.050000	0.128083  	0.050000	0.128083  	0.050000	0.128524  	0.050000	0.000434891	
0.055000	0.209214  	0.055000	0.129748  	0.055000	0.128944  	0.055000	0.128944  	0.055000	0.129344  	0.055000	0.000403869	
0.060000	0.210607  	0.060000	0.130001  	0.060000	0.129328  	0.060000	0.129328  	0.060000	0.129624  	0.060000	0.000377338	
0.070000	0.210173  	0.070000	0.129352  	0.070000	0.129007  	0.070000	0.129007  	0.070000	0.129017  	0.070000	0.000334251	
0.080000	0.206621  	0.080000	0.127712  	0.080000	0.12768   	0.080000	0.12768   	0.080000	0.127411  	0.080000	0.00030067	
0.090000	0.20113   	0.090000	0.125537  	0.090000	0.125738  	0.090000	0.125738  	0.090000	0.125263  	0.090000	0.000273691	
0.100000	0.194592  	0.100000	0.123108  	0.100000	0.12345   	0.100000	0.12345   	0.100000	0.122856  	0.100000	0.000251498	
0.120000	0.180678  	0.120000	0.11809   	0.120000	0.118486  	0.120000	0.118486  	0.120000	0.117873  	0.120000	0.000217046	
0.140000	0.167629  	0.140000	0.1133    	0.140000	0.113571  	0.140000	0.113571  	0.140000	0.113108  	0.140000	0.000191449	
0.160000	0.1563    	0.160000	0.108902  	0.160000	0.108988  	0.160000	0.108988  	0.160000	0.10873   	0.160000	0.000171618	
